C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XG10,X,VENDIDO,GABRIELA RODRIGUEZ,13/7/2025,HOMBRE,24,COLOMBIA,CALI,DESARROLADOR SOFTWARE,EMPLEAD@,SOLTER@,$3.500.000,LOS VI EN REDES
XD10,X,DISPONIBLE,, ,,,,,,,,,
XD11,X,DISPONIBLE,,,,,,,,,,,
XD12,X,VENDIDO,TRASLADO VP,17/6/2025,MUJER,,ESTADOS UNIDOS,CINCINNATI,CONTADORA,INDEPENDIENTE,UNIÓN LIBRE,"$3,500,000",CLIENTE VP
XD13,X,DISPONIBLE,, ,,,,,,,,,
XD14,X,DISPONIBLE,, ,,,,,,,,,
XD15,X,DISPONIBLE,, ,,,,,,,,,
XD16,X,DISPONIBLE,, ,,,,,,,,,
XD17,X,DISPONIBLE,, ,,,,,,,,,
XD18,X,VENDIDO,VALERIA YEPES,30/7/2024,HOMBRE,32,COLOMBIA,cali,ANALISTA DE DATOS,EMPLEAD@,CASAD@,$3.500.000,LOS VI EN REDES
XE1,X,DISPONIBLE,, ,,,,,,,,,
XE2,X,DISPONIBLE,, ,,,,,,,,,
XE3,X,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XE4,X,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XE5,X,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XE6,X,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XE7,X,RESERVADO,ISABEL ARBOLEDA,30/10/2024,,,,,,,,,
XE8,X,VENDIDO,ISABEL ARBOLEDA,2/9/2024,HOMBRE,24,COLOMBIA,CALI,INGENIERO INDUSTRIAL,EMPLEAD@,SOLTER@,$4.500.000,SOY REFERIDO
XI12,X,VENDIDO,GABRIELA RODRIGUEZ,9/7/2025,MUJER,36,COLOMBIA,JAMUNDÍ,DOCENTE,EMPLEAD@,CASAD@,$3.500.000,LOS VI EN REDES
XE10,X,VENDIDO,ISABEL ARBOLEDA,15/2/2025,HOMBRE,22,COLOMBIA,JAMUNDÍ,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XE11,X,VENDIDO,GABRIELA RODRIGUEZ,21/4/2025,HOMBRE,25,COLOMBIA,JAMUNDÍ,MILITAR,EMPLEAD@,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
