C+ID,CONJUNTO,STATUS,ASESOR,FECHA,GÉNERO,EDAD,PAÍS,CIUDAD,PROFESIÓN,OCUPACIÓN,ESTADO CIVIL,INGRESOS MENSUALES,CANALES
XJ15,X,DISPONIBLE,, ,,,,,,,,,
XJ16,X,DISPONIBLE,, ,,,,,,,,,
XJ17,X,DISPONIBLE,, ,,,,,,,,,
XJ18,X,DISPONIBLE,, ,,,,,,,,,
XJ19,X,DISPONIBLE,, ,,,,,,,,,
XJ20,X,VENDIDO,JULIANA GIRONZA,27/12/2024,MUJER,57,COLOMBIA,CALI,ENFERMERA,EMPLEAD@,UNIÓN LIBRE,$3.500.000,LOS VI EN REDES
XG7,X,VENDIDO,LAURA DANIELA GALLO,12/8/2025,HOMBRE,25,ESPAÑA,,INDEPENDIENTE,INDEPENDIENTE,UNIÓN LIBRE,"$4,000,000",REFERIDO
XJ21,X,VENDIDO,LAURA DANIELA GALLO,16/8/2025,MUJER,32,COLOMBIA,SUAREZ,INDEPENDIENTE,INDEPENDIENTE,UNIÓN LIBRE,"$4,000,000",LOS VI EN REDES
XJ23,X,VENDIDO,ISABEL ARBOLEDA,28/1/2025,MUJER,43,COLOMBIA,MEDELLIN,,EMPLEAD@,SOLTER@,$3.000.000,SOY REFERIDO
XJ24,X,DISPONIBLE,, ,,,,,,,,,
XJ25,X,DISPONIBLE,, ,,,,,,,,,
XJ26,X,DISPONIBLE,, ,,,,,,,,,
XJ27,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XJ28,X,VENDIDO,LAURA DANIELA GALLO,11/8/2025,HOMBRE,36,COLOMBIA,CALI,ARQUITECTO,EMPLEAD@,SOLTER@,"$4,500,000",LOS VI EN REDES
XJ29,X,DISPONIBLE,, ,,,,,,,,,
XJ30,X,DISPONIBLE,, ,,,,,,,,,
XJ31,X,DISPONIBLE,, ,,,,,,,,,
XJ32,X,DISPONIBLE,, ,,,,,,,,,
XJ33,X,DISPONIBLE,, ,,,,,,,,,
XJ34,X,DISPONIBLE,, ,,,,,,,,,
XJ35,X,DISPONIBLE,, ,,,,,,,,,
XJ36,X,DISPONIBLE,, ,,,,,,,,,
XJ37,X,DISPONIBLE,, ,,,,,,,,,
XJ38,X,DISPONIBLE,, ,,,,,,,,,
XK1,X,DISPONIBLE,, ,,,,,,,,,
XK2,X,VENDIDO,ISABEL ARBOLEDA,24/2/2025,MUJER,47,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$2.500.000,SOY REFERIDO
XK3,X,DISPONIBLE,, ,,,,,,,,,
XK4,X,VENDIDO,ISABEL ARBOLEDA ,3/12/2024,HOMBRE,27,COLOMBIA,CALI,INGENIERO CIVIL,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XK5,X,DISPONIBLE,, ,,,,,,,,,
XK6,X,DISPONIBLE,, ,,,,,,,,,
XK7,X,VENDIDO,LAURA DANIELA GALLO,9/8/2025,MUJER,24,COLOMBIA,JAMUNDÍ,INDEPENDIENTE,INDEPENDIENTE,SOLTER@,"$4,000,000",LOS VI EN REDES
XK8,X,DISPONIBLE,, ,,,,,,,,,
XK9,X,DISPONIBLE,, ,,,,,,,,,
XK10,X,VENDIDO,GABRIELA RODRIGUEZ,26/6/2025,HOMBRE,50,COLOMBIA,JAMUNDÍ,DOCENTE,EMPLEAD@,CASAD@,$4.000.000,PASÉ Y ENTRÉ
XK11,X,DISPONIBLE,, ,,,,,,,,,
XK12,X,DISPONIBLE,, ,,,,,,,,,
XK13,X,DISPONIBLE,, ,,,,,,,,,
XK14,X,DISPONIBLE,, ,,,,,,,,,
XK15,X,DISPONIBLE,, ,,,,,,,,,
XK16,X,DISPONIBLE,, ,,,,,,,,,
XK17,X,DISPONIBLE,, ,,,,,,,,,
XK18,X,RESERVADO,JMFD, ,,,,,,,,,
XK19,X,DISPONIBLE,, ,,,,,,,,,
XK20,X,DISPONIBLE,, ,,,,,,,,,
XK21,X,DISPONIBLE,, ,,,,,,,,,
XK22,X,DISPONIBLE,, ,,,,,,,,,
XK23,X,VENDIDO,JANIER VERA,16/9/2024,HOMBRE,40,COLOMBIA,JAMUNDÍ,ESCOLTA DE SEGURIDAD,EMPLEAD@,UNIÓN LIBRE,$3.000.000,PASÉ Y ENTRÉ
XK24,X,DISPONIBLE,, ,,,,,,,,,
XK25,X,DISPONIBLE,, ,,,,,,,,,
XK26,X,DISPONIBLE,, ,,,,,,,,,
XK27,X,DISPONIBLE,, ,,,,,,,,,
XK28,X,DISPONIBLE,, ,,,,,,,,,
XK29,X,DISPONIBLE,, ,,,,,,,,,
XK30,X,DISPONIBLE,, ,,,,,,,,,
XK31,X,VENDIDO,VALERIA YEPES,7/5/2024,HOMBRE,44,COLOMBIA,JAMUNDÍ,ELECTRICISTA,EMPLEAD@,CASAD@,$3.000.000,LOS VI EN REDES
XK32,X,DISPONIBLE,, ,,,,,,,,,
XK33,X,DISPONIBLE,, ,,,,,,,,,
XK34,X,DISPONIBLE,, ,,,,,,,,,
XK35,X,DISPONIBLE,, ,,,,,,,,,
XK36,X,DISPONIBLE,, ,,,,,,,,,
XK37,X,DISPONIBLE,, ,,,,,,,,,
XK38,X,DISPONIBLE,, ,,,,,,,,,
XK39,X,DISPONIBLE,, ,,,,,,,,,
XK40,X,DISPONIBLE,, ,,,,,,,,,
XK41,X,DISPONIBLE,, ,,,,,,,,,
XK42,X,DISPONIBLE,, ,,,,,,,,,
XK43,X,DISPONIBLE,, ,,,,,,,,,
XL1,X,VENDIDO,VALERIA YEPES,2/6/2024,HOMBRE,43,COLOMBIA,CALI,ACTIVIDADES DE RECUPERACION FISICA ,EMPLEAD@,CASAD@,$3.500.000,LOS VI EN REDES
XL2,X,VENDIDO,ANDREA OROZCO,24/7/2024,MUJER,44,COLOMBIA,CALI,ENFERMERA,EMPLEAD@,SOLTER@,$3.500.000,SOY REFERIDO
XL3,X,DISPONIBLE,, ,,,,,,,,,
XL4,X,VENDIDO,ISABEL ARBOLEDA,28/8/2024,MUJER,32,COLOMBIA,CALI,DISEÑADORA GRAFICA,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XL5,X,DISPONIBLE,, ,,,,,,,,,
XL6,X,DISPONIBLE,, ,,,,,,,,,
XL7,X,DISPONIBLE,, ,,,,,,,,,
XL8,X,DISPONIBLE,, ,,,,,,,,,
XL9,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XL10,X,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XL11,X,VENDIDO,INNVERTO,15/10/2024,HOMBRE,36,COLOMBIA,CALI,,EMPLEAD@,UNIÓN LIBRE,$5.000.000,LOS VI EN REDES
XL12,X,VENDIDO,GABRIELA RODRIGUEZ,15/1/2025,MUJER,55,COLOMBIA,CALI,DISEÑADORA GRAFICA,INDEPENDIENTE,SOLTER@,$7.000.000,LOS VI EN REDES
XL13,X,DISPONIBLE,, ,,,,,,,,,
XL14,X,DISPONIBLE,, ,,,,,,,,,
XL15,X,DISPONIBLE,, ,,,,,,,,,
XL16,X,DISPONIBLE,, ,,,,,,,,,
XL17,X,DISPONIBLE,, ,,,,,,,,,
XL18,X,DISPONIBLE,, ,,,,,,,,,
XL19,X,DISPONIBLE,, ,,,,,,,,,
XL20,X,VENDIDO,ISABEL ARBOLEDA,25/9/2024,MUJER,35,COLOMBIA,CALI,ASESOR COMERCIAL ,EMPLEAD@,SOLTER@,$3.500.000,SOY REFERIDO
XL21,X,VENDIDO,LAURA DANIELA GALLO,1/2/2025,MUJER,38,COLOMBIA,SANTANDER,ABOGADA,EMPLEAD@,CASAD@,"$4,000,000",REFERIDO
XL22,X,DISPONIBLE,, ,,,,,,,,,
XLA1,XL,DISPONIBLE,, ,,,,,,,,,
XLA2,XL,DISPONIBLE,, ,,,,,,,,,
XLA3,XL,DISPONIBLE,, ,,,,,,,,,
XLA4,XL,DISPONIBLE,, ,,,,,,,,,
XLA5,XL,DISPONIBLE,, ,,,,,,,,,
XLA6,XL,DISPONIBLE,, ,,,,,,,,,
XLA7,XL,DISPONIBLE,, ,,,,,,,,,
XLA8,XL,DISPONIBLE,, ,,,,,,,,,
XLA9,XL,DISPONIBLE,, ,,,,,,,,,
XLB1,XL,VENDIDO,LAURA DANIELA GALLO,10/2/2025,HOMBRE,36,COLOMBIA,TIMBA,ABOGADO,EMPLEAD@,CASAD@,"$4,000,000",LOS VI EN REDES
XLB2,XL,VENDIDO,GABRIELA RODRIGUEZ,4/11/2024,MUJER,39,COLOMBIA,BUENAVENTURA,COMERCIANTE,EMPLEAD@,UNIÓN LIBRE,$4.500.000,SOY REFERIDO
XLB3,XL,VENDIDO,INNVERTO,22/11/2024,MUJER,58,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLB4,XL,VENDIDO,GABRIELA RODRIGUEZ,9/11/2024,MUJER,30,COLOMBIA,JAMUNDÍ,TECNOLOGA ADMINISTRATIVA,EMPLEAD@,UNIÓN LIBRE,$2.500.000,PASÉ Y ENTRÉ
XLB5,XL,VENDIDO,JANIER VERA,9/7/2024,HOMBRE,37,COLOMBIA,CALI,ODONTOLOGO,EMPLEAD@,CASAD@,$5.000.000,LOS VI EN REDES
XLB6,XL,DISPONIBLE,, ,,,,,,,,,
XLB7,XL,VENDIDO,ISABEL ARBOLEDA,28/4/2025,HOMBRE,50,COLOMBIA,JAMUNDÍ,COMERCIANTE,INDEPENDIENTE,CASAD@,$4.000.000,LOS VI EN REDES
XLB8,XL,DISPONIBLE,,,,,,,,,,,
XLB9,XL,DISPONIBLE,, ,,,,,,,,,
XLB10,XL,RESERVADO,BM (JHON),3/3/2025,,,,,,,,,
XLB11,XL,RESERVADO,BM (JHON),3/3/2025,,,,,,,,,
XLB12,XL,VENDIDO,INNVERTO,30/11/2024,MUJER,58,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLB13,XL,DISPONIBLE,, ,,,,,,,,,
XLB14,XL,DISPONIBLE,, ,,,,,,,,,
XLB15,XL,VENDIDO,VALERIA YEPES,22/7/2024,HOMBRE,45,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,CASAD@,$10.000.000,LOS VI EN REDES
XLB16,XL,DISPONIBLE,,,,,,,,,,,
XLB17,XL,DISPONIBLE,, ,,,,,,,,,
XLB18,XL,DISPONIBLE,,,,,,,,,,,
XLB19,XL,VENDIDO,ISABEL ARBOLEDA,11/9/2024,HOMBRE,42,COLOMBIA,PASTO ,INGENIERO INDUSTRIAL,INDEPENDIENTE,CASAD@,$5.000.000,LOS VI EN REDES
XLB20,XL,DISPONIBLE,, ,,,,,,,,,
XLC1,XL,DISPONIBLE,, ,,,,,,,,,
XLC2,XL,DISPONIBLE,, ,,,,,,,,,
XLC3,XL,VENDIDO,JANIER VERA,27/5/2024,MUJER,39,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,UNIÓN LIBRE,$3.000.000,PASÉ Y ENTRÉ
XLC4,XL,DISPONIBLE,, ,,,,,,,,,
XLC5,XL,DISPONIBLE,, ,,,,,,,,,
XLC6,XL,DISPONIBLE,, ,,,,,,,,,
XLC7,XL,DISPONIBLE,, ,,,,,,,,,
XLC8,XL,DISPONIBLE,, ,,,,,,,,,
XLC9,XL,DISPONIBLE,, ,,,,,,,,,
XLC10,XL,DISPONIBLE,, ,,,,,,,,,
XLC11,XL,DISPONIBLE,, ,,,,,,,,,
XLC12,XL,DISPONIBLE,, ,,,,,,,,,
XLC13,XL,DISPONIBLE,, ,,,,,,,,,
XLC14,XL,DISPONIBLE,, ,,,,,,,,,
XLC15,XL,DISPONIBLE,, ,,,,,,,,,
XLD1,XL,DISPONIBLE,, ,,,,,,,,,
XLD2,XL,VENDIDO,JANIER VERA,19/5/2024,MUJER,24,COLOMBIA,JAMUNDÍ,AUX DE TENIS EN CLUB,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XLD3,XL,VENDIDO,ISABEL ARBOLEDA,18/2/2025,HOMBRE,30,COLOMBIA,CALI,,EMPLEAD@,SOLTER@,$4.000.000,SOY REFERIDO
XLD4,XL,VENDIDO,GABRIELA RODRIGUEZ,26/2/2025,MUJER,29,COLOMBIA,JAMUNDÍ,PSICÓLOGA,EMPLEAD@,UNIÓN LIBRE,$4.500.000,PASÉ Y ENTRÉ
XLD5,XL,DISPONIBLE,, ,,,,,,,,,
XLD6,XL,DISPONIBLE,, ,,,,,,,,,
XLD7,XL,DISPONIBLE,, ,,,,,,,,,
XLD8,XL,DISPONIBLE,, ,,,,,,,,,
XLD9,XL,VENDIDO,ISABEL ARBOLEDA,23/11/2024,HOMBRE,43,COLOMBIA,CALI,,INDEPENDIENTE,CASAD@,$7.000.000,SOY REFERIDO
XLD10,XL,VENDIDO,JANIER VERA,16/8/2024,MUJER,29,COLOMBIA,CALI,,INDEPENDIENTE,SOLTER@,$5.000.000,LOS VI EN REDES
XLD11,XL,VENDIDO,JANIER VERA,14/8/2024,MUJER,29,COLOMBIA,CALI,,INDEPENDIENTE,SOLTER@,$5.000.000,LOS VI EN REDES
XLD12,XL,DISPONIBLE,, ,,,,,,,,,
XLD13,XL,VENDIDO,VALERIA YEPES,5/9/2024,HOMBRE,54,COLOMBIA,CALI,MECANICO,EMPLEAD@,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XLD14,XL,DISPONIBLE,, ,,,,,,,,,
XLD15,XL,DISPONIBLE,, ,,,,,,,,,
XLD16,XL,DISPONIBLE,, ,,,,,,,,,
XLD17,XL,VENDIDO,JANIER VERA,17/6/2024,HOMBRE,63,COLOMBIA,JAMUNDÍ,INGENIERO QUIMICO,EMPLEAD@,UNIÓN LIBRE,$4.000.000,PASÉ Y ENTRÉ
XLD18,XL,DISPONIBLE,, ,,,,,,,,,
XLD19,XL,VENDIDO,GABRIELA RODRIGUEZ,13/11/2024,HOMBRE,54,COLOMBIA,CALI,DOCENTE,EMPLEAD@,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XLD20,XL,DISPONIBLE,, ,,,,,,,,,
XLD21,XL,DISPONIBLE,,,,,,,,,,,
XLE1,XL,VENDIDO,TRASLADO VP, ,HOMBRE,23,COLOMBIA,CALI,ING SOFWARE,INDEPENDIENTE,SOLTER@,"$5,000,000",CLIENTE DE VP
XLE2,XL,VENDIDO,ISABEL ARBOLEDA,8/8/2024,HOMBRE,54,COLOMBIA,CALI,OPERACION LOGISTICA,INDEPENDIENTE,CASAD@,$5.000.000,LOS VI EN REDES
XLE3,XL,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XLE4,XL,VENDIDO,ANDREA OROZCO,31/5/2024,HOMBRE,50,ESPAÑA,,AGENTE HOTELERO,EMPLEAD@,CASAD@,$7.000.000,PASÉ Y ENTRÉ
XLE5,XL,VENDIDO,GABRIELA RODRIGUEZ,23/1/2025,HOMBRE,52,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,SOLTER@,$4.500.000,LOS VI EN REDES
XLE6,XL,VENDIDO,BM (DABEIDA), ,,,,,,,,,
XLE7,XL,VENDIDO,GABRIELA RODRIGUEZ,1/4/2025,HOMBRE,27,COLOMBIA,JAMUNDÍ,DOCENTE,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XLE8,XL,DISPONIBLE,, ,,,,,,,,,
XLE9,XL,RESERVADO,BM (ENDO),1/8/2024,,,,,,,,,
XLE10,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
XLE11,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
XLE12,XL,VENDIDO,JANIER VERA,31/5/2024,MUJER,32,COLOMBIA,CALI,,INDEPENDIENTE,SOLTER@,$4.000.000,PASÉ Y ENTRÉ
XLE13,XL,VENDIDO,LAURA DANIELA GALLO,8/7/2025,HOMBRE,25,COLOMBIA,CALI,INDEPENDIENTE,INDEPENDIENTE,SOLTER@,"$4,000,000",REFERIDO
XLE14,XL,DISPONIBLE,,,,,,,,,,,
XLE15,XL,VENDIDO,LAURA DANIELA GALLO,30/4/2025,MUJER,39,COLOMBIA,JAMUNDÍ,CONTADORA,EMPLEAD@,SOLTER@,"$6,000,000",LOS VI EN REDES
XLE16,XL,DISPONIBLE,, ,,,,,,,,,
XLF1,XL,DISPONIBLE,, ,,,,,,,,,
XLF2,XL,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XLF3,XL,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XLF4,XL,VENDIDO,JANIER VERA,16/8/2024,MUJER,27,COLOMBIA,CALI,,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLF5,XL,VENDIDO,JANIER VERA,16/8/2024,MUJER,27,COLOMBIA,CALI,,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLF6,XL,VENDIDO,INNVERTO,12/10/2024,MUJER,30,COLOMBIA,CALI,CONDUCTORA,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XLF7,XL,VENDIDO,ISABEL ARBOLEDA,25/9/2024,MUJER,50,COLOMBIA,CALI,ARMADA-MARINA ,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLF8,XL,VENDIDO,JANIER VERA,12/7/2024,HOMBRE,23,COLOMBIA,CALI,ANALISTA DE CALIDAD,EMPLEAD@,UNIÓN LIBRE,$3.500.000,LOS VI EN REDES
XLF9,XL,DISPONIBLE,, ,,,,,,,,,
XLF10,XL,VENDIDO,JANIER VERA,10/6/2024,HOMBRE,40,COLOMBIA,CALI,CONTRATISTA,INDEPENDIENTE,UNIÓN LIBRE,$4.000.000,LOS VI EN REDES
XLF11,XL,VENDIDO,JANIER VERA,18/7/2024,MUJER,43,COLOMBIA,CALI,,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XLF12,XL,VENDIDO,JANIER VERA,18/7/2024,MUJER,32,COLOMBIA,JAMUNDÍ,ABOGADA,INDEPENDIENTE,UNIÓN LIBRE,$4.000.000,SOY REFERIDO
XLF13,XL,VENDIDO,VALERIA YEPES,29/8/2024,MUJER,31,COLOMBIA,CALI,,EMPLEAD@,CASAD@,$5.000.000,SOY REFERIDO
XLF14,XL,VENDIDO,JULIANA GIRONZA,20/12/2024,HOMBRE,38,COLOMBIA,CALI,COMERCIANTE,INDEPENDIENTE,UNIÓN LIBRE,$5.000.000,LOS VI EN REDES
XLF15,XL,VENDIDO,GABRIELA RODRIGUEZ,19/11/2024,MUJER,34,COLOMBIA,CALI,SUPERVISORA,EMPLEAD@,UNIÓN LIBRE,$7.000.000,SOY REFERIDO
XLF16,XL,VENDIDO,ISABEL ARBOLEDA,22/11/2024,HOMBRE,60,COLOMBIA,CANADA,,EMPLEAD@,CASAD@,$9.000.000,SOY REFERIDO
XLF17,XL,DISPONIBLE,, ,,,,,,,,,
XLG1,XL,DISPONIBLE,, ,,,,,,,,,
XLG2,XL,VENDIDO,LAURA DANIELA GALLO,12/7/2025,HOMBRE,36,COLOMBIA,JAMUNDÍ,ADMINISTRADOR DE EMPRESAS,EMPLEAD@,CASAD@,"$4,000,000",REFERIDO
XLG3,XL,VENDIDO,JANIER VERA,31/5/2024,MUJER,37,COLOMBIA,JAMUNDÍ,AUX ADMINISTRATIVO,EMPLEAD@,SOLTER@,$3.000.000,PASÉ Y ENTRÉ
XLG4,XL,VENDIDO,VALERIA YEPES,25/6/2024,HOMBRE,42,COLOMBIA,PALMIRA ,,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XLG5,XL,VENDIDO,VALERIA YEPES,27/8/2024,HOMBRE,59,COLOMBIA,CALI,OFICIOS VARIOS ,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XLG6,XL,VENDIDO,ISABEL ARBOLEDA,1/9/2024,HOMBRE,45,COLOMBIA,CALI,,INDEPENDIENTE,CASAD@,$4.000.000,SOY REFERIDO
XLG7,XL,DISPONIBLE,, ,,,,,,,,,
XLG8,XL,DISPONIBLE,, ,,,,,,,,,
XLG9,XL,DISPONIBLE,,,,,,,,,,,
XLG10,XL,DISPONIBLE,, ,,,,,,,,,
XLG11,XL,DISPONIBLE,, ,,,,,,,,,
XLG12,XL,DISPONIBLE,, ,,,,,,,,,
XLG13,XL,VENDIDO,ISABEL ARBOLEDA,31/7/2024,MUJER,36,COLOMBIA,CALI,,INDEPENDIENTE,UNIÓN LIBRE,$5.000.000,SOY REFERIDO
XLG14,XL,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XLG15,XL,DISPONIBLE,, ,,,,,,,,,
XLG16,XL,VENDIDO,INNVERTO,19/10/2024,MUJER,43,COLOMBIA,JAMUNDÍ,CONTADORA PÚBLICA,EMPLEAD@,SOLTER@,$6.000.000,PASÉ Y ENTRÉ
XLG17,XL,VENDIDO,ISABEL ARBOLEDA ,26/12/2024,HOMBRE,30,ESTADOS UNIDOS,,,EMPLEAD@,SOLTER@,$7.000.000,SOY REFERIDO
XLG18,XL,VENDIDO,GABRIELA RODRIGUEZ,26/2/2025,HOMBRE,30,COLOMBIA,TUMACO,ADMINISTRADOR,EMPLEAD@,SOLTER@,$5.000.000,LOS VI EN REDES
XLG19,XL,VENDIDO,GABRIELA RODRIGUEZ,16/7/2025,HOMBRE,32,COLOMBIA,JAMUNDÍ,ENFERMERO,EMPLEAD@,CASAD@,$7.000.000,LOS VI EN REDES
XLG20,XL,DISPONIBLE,, ,,,,,,,,,
XLG21,XL,DISPONIBLE,, ,,,,,,,,,
XLG22,XL,DISPONIBLE,, ,,,,,,,,,
XLG23,XL,DISPONIBLE,, ,,,,,,,,,
XLG24,XL,DISPONIBLE,, ,,,,,,,,,
XLH1,XL,DISPONIBLE,, ,,,,,,,,,
XLH2,XL,VENDIDO,VALERIA YEPES,23/6/2024,MUJER,30,COLOMBIA,JAMUNDÍ,AUX ADMINISTRATIVA ,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XLH3,XL,VENDIDO,GABRIELA RODRIGUEZ,16/12/2024,HOMBRE,30,COLOMBIA,JAMUNDÍ,COMERCIANTE,EMPLEAD@,SOLTER@,$4.000.000,LOS VI EN REDES
XLH4,XL,DISPONIBLE,, ,,,,,,,,,
XLH5,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
XLH6,XL,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XLH7,XL,VENDIDO,BM (CAMILO),1/4/2024,,,,,,,,,
XLH8,XL,VENDIDO,GABRIELA RODRIGUEZ,12/8/2025,MUJER,40,COLOMBIA,JAMUNDÍ,SUPERVISORA,EMPLEAD@,SOLTER@,$3.000.000,LOS VI EN REDES
XLH9,XL,VENDIDO,GABRIELA RODRIGUEZ,9/12/2024,HOMBRE,34,COLOMBIA,CAICEDONIA,INGENIERO,EMPLEAD@,CASAD@,$4.000.000,LOS VI EN REDES
XLH10,XL,VENDIDO,JULIANA GIRONZA,9/12/2024,MUJER,49,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$6.000.000,SOY REFERIDO
XLH11,XL,VENDIDO,GABRIELA RODRIGUEZ,9/12/2024,MUJER,43,COLOMBIA,CAICEDONIA,DOCENTE,EMPLEAD@,SOLTER@,$8.000.000,SOY REFERIDO
XLH12,XL,VENDIDO,GABRIELA RODRIGUEZ,11/12/2024,MUJER,54,COLOMBIA,BOGOTA,MODISTA,EMPLEAD@,SOLTER@,$8.000.000,SOY REFERIDO
XLH13,XL,DISPONIBLE,, ,,,,,,,,,
XLH14,XL,VENDIDO,INNVERTO,15/9/2024,HOMBRE,57,COLOMBIA,CALI,INGENIERO INDUSTRIAL,EMPLEAD@,SOLTER@,$6.000.000,LOS VI EN REDES
XLH15,XL,VENDIDO,ISABEL ARBOLEDA,16/9/2024,MUJER,36,COLOMBIA,CALI,DOCENTE,EMPLEAD@,UNIÓN LIBRE,$3.500.000,SOY REFERIDO
XLH16,XL,VENDIDO,ISABEL ARBOLEDA,12/9/2024,HOMBRE,45,COLOMBIA,BUENAVENTURA,CONTADOR,EMPLEAD@,UNIÓN LIBRE,$3.000.000,LOS VI EN REDES
XLH17,XL,DISPONIBLE,, ,,,,,,,,,
XLH18,XL,DISPONIBLE,, ,,,,,,,,,
XLH19,XL,VENDIDO,BM (CARLOS),1/4/2024,,,,,,,,,
XLH20,XL,VENDIDO,JANIER VERA,9/7/2024,MUJER,27,COLOMBIA,CALI,BACTERIOLOGA,EMPLEAD@,UNIÓN LIBRE,$4.000.000,PASÉ Y ENTRÉ
XLH21,XL,DISPONIBLE,, ,,,,,,,,,
XLH22,XL,VENDIDO,GABRIELA RODRIGUEZ,22/7/2025,HOMBRE,41,COLOMBIA,CALI,SUPERVISOR DE OBRA,INDEPENDIENTE,SOLTER@,$3.000.000,LOS VI EN REDES
XLH23,XL,VENDIDO,JULIANA GIRONZA,11/12/2024,MUJER,25,COLOMBIA,JAMUNDÍ,,EMPLEAD@,SOLTER@,$5.000.000,SOY REFERIDO
XLH24,XL,VENDIDO,GABRIELA RODRIGUEZ,9/12/2024,HOMBRE,23,COLOMBIA,JAMUNDÍ,ENFERMERO,EMPLEAD@,SOLTER@,$8.000.000,SOY REFERIDO
XLH25,XL,VENDIDO,GABRIELA RODRIGUEZ,9/12/2024,MUJER,23,COLOMBIA,IBAGUE,ENFERMERA,EMPLEAD@,SOLTER@,$6.500.000,SOY REFERIDO
XLH26,XL,DISPONIBLE,, ,,,,,,,,,
XLI1,XL,VENDIDO,JANIER VERA,10/4/2024,,,COLOMBIA,,,,,,
XLI2,XL,VENDIDO,VALERIA YEPES,27/9/2024,MUJER,55,COLOMBIA,PUERTO TEJADA,AMA DE CASA,INDEPENDIENTE,CASAD@,$3.000.000,LOS VI EN REDES
XLI3,XL,VENDIDO,GABRIELA RODRIGUEZ,5/5/2025,MUJER,43,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,SOLTER@,$2.500.000,PASÉ Y ENTRÉ
XLI4,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
XLI5,XL,DISPONIBLE,, ,,,,,,,,,
XLI6,XL,DISPONIBLE,, ,,,,,,,,,
XLI7,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
XLI8,XL,VENDIDO,LAURA DANIELA GALLO,21/4/2025,HOMBRE,32,COLOMBIA,JAMUNDÍ,MILITAR,EMPLEAD@,CASAD@,"$5,800,000",LOS VI EN REDES
XLI9,XL,VENDIDO,LAURA DANIELA GALLO,21/4/2025,HOMBRE,32,COLOMBIA,JAMUNDÍ,MILITAR,EMPLEAD@,CASAD@,"$5,800,000",LOS VI EN REDES
XLI10,XL,VENDIDO,GABRIELA RODRIGUEZ,20/5/2025,MUJER,35,COLOMBIA,JAMUNDÍ,,INDEPENDIENTE,UNIÓN LIBRE,$2.500.000,PASÉ Y ENTRÉ
XLI11,XL,VENDIDO,GABRIELA RODRIGUEZ,20/5/2025,MUJER,40,COLOMBIA,JAMUNDÍ,MANICURISTA,EMPLEAD@,SOLTER@,$2.500.000,SOY REFERIDO
XLI12,XL,DISPONIBLE,, ,,,,,,,,,
XLI13,XL,DISPONIBLE,, ,,,,,,,,,
XLI14,XL,DISPONIBLE,, ,,,,,,,,,
XLI15,XL,DISPONIBLE,, ,,,,,,,,,
XLI16,XL,DISPONIBLE,, ,,,,,,,,,
XLI17,XL,DISPONIBLE,, ,,,,,,,,,
XLI18,XL,DISPONIBLE,, ,,,,,,,,,
XLI19,XL,DISPONIBLE,, ,,,,,,,,,
XLI20,XL,VENDIDO,DACION,1/4/2024,,,,,,,,,
